,total_abordo,pasajeros_abordo,personal_abordo,total_fallecidos,pasajeros_fallecidos,personal_fallecido,anio
362,105,100,5,96,92,4,2006
363,12,9,3,12,9,3,2006
364,5,2,3,5,2,3,2006
365,38,32,6,38,32,6,2006
366,3,0,3,3,0,3,2006
367,102,96,6,102,96,6,2007
368,35,30,5,34,29,5,2007
369,12,10,4,12,10,4,2007
370,54,50,4,0,0,0,2007
371,140,133,7,22,21,1,2007
372,7,6,1,4,3,1,2007
373,5,4,1,1,1,0,2007
374,4,2,2,4,2,2,2007
375,57,50,7,6,6,0,2007
376,11,5,6,11,5,6,2007
377,5,4,1,3,2,1,2007
378,18,15,3,18,15,3,2007
379,114,105,9,114,105,9,2007
380,9,5,4,9,5,4,2007
381,3,1,2,3,1,2,2007
382,20,17,3,13,10,3,2007
383,22,20,2,21,20,1,2007
384,6,4,2,6,4,2,2007
385,22,19,3,15,12,3,2007
386,25,22,3,1,1,0,2007
387,22,16,6,22,16,6,2007
388,78,69,9,5,4,1,2007
389,3,0,3,3,0,3,2007
390,5,3,2,1,1,0,2007
391,187,181,6,187,181,6,2007
392,9,3,6,1,1,0,2007
393,5,4,1,5,4,1,2007
394,9,0,9,9,0,9,2007
395,20,19,1,20,19,1,2007
396,10,9,1,6,6,0,2007
397,165,157,8,0,0,0,2007
398,2,0,2,2,0,2,2007
399,14,12,2,14,12,2,2007
400,15,12,3,14,11,3,2007
401,8,6,2,8,6,2,2007
402,130,123,7,90,85,5,2007
403,6,5,1,1,0,1,2007
404,22,17,5,21,17,4,2007
405,17,15,2,17,15,2,2007
406,4,0,4,0,0,0,2007
407,57,50,7,57,50,7,2007
408,4,3,1,4,3,1,2007
409,2,1,1,2,1,1,2007
410,18,16,2,18,16,2,2008
411,11,10,1,11,10,1,2008
412,152,136,16,0,0,0,2008
413,20,16,4,20,16,4,2008
414,3,0,3,3,0,3,2008
415,46,43,3,46,43,3,2008
416,20,17,3,5,4,1,2008
417,10,7,3,10,7,3,2008
418,19,17,2,19,17,2,2008
419,1,0,1,1,0,1,2008
420,8,0,8,8,0,8,2008
421,85,79,6,0,0,0,2008
422,13,8,5,13,8,5,2008
423,20,18,2,20,18,2,2008
424,5,4,1,2,2,0,2008
425,6,5,1,4,3,1,2008
426,9,0,9,9,0,9,2008
427,12,9,3,11,9,2,2008
428,136,131,5,3,2,1,2008
429,4,1,3,4,1,3,2008
430,214,203,11,32,31,1,2008
431,1,0,1,1,0,1,2008
432,10,8,2,10,8,2,2008
433,18,13,5,18,13,5,2008
434,8,6,2,7,5,2,2008
435,7,5,2,6,4,2,2008
436,4,0,4,4,0,4,2008
437,2,0,2,1,0,1,2008
438,8,0,8,0,0,0,2008
439,8,6,2,8,6,2,2008
440,7,6,1,5,4,1,2008
441,13,11,2,9,8,1,2008
442,10,8,2,10,8,2,2008
443,3,0,3,3,0,3,2008
444,172,166,6,154,148,6,2008
445,90,83,7,68,67,1,2008
446,3,0,3,3,0,3,2008
447,3,0,3,3,0,3,2008
448,7,5,2,7,5,2,2008
449,88,82,6,88,82,6,2008
450,6,4,2,4,2,2,2008
451,5,4,1,4,3,1,2008
452,19,16,3,18,16,2,2008
453,4,1,3,4,1,3,2008
454,7,0,7,7,0,7,2008
455,8,7,1,7,6,1,2008
456,7,0,7,7,0,7,2008
457,3,2,1,3,2,1,2008
458,3,3,2,3,3,2,2008
459,12,11,1,12,11,1,2008
460,115,110,5,0,0,0,2008
461,2,0,2,2,0,2,2009
462,9,7,2,8,6,2,2009
463,13,,,13,,,2009
464,155,150,5,0,0,0,2009
465,28,26,2,24,22,2,2009
466,49,44,5,49,44,5,2009
467,13,12,1,13,12,1,2009
468,5,0,5,5,0,5,2009
469,134,127,7,9,6,3,2009
470,11,7,4,11,7,4,2009
471,18,16,2,17,15,2,2009
472,14,13,1,14,13,1,2009
473,2,0,2,2,0,2,2009
474,16,14,2,16,14,2,2009
475,24,18,6,24,18,6,2009
476,6,0,6,6,0,6,2009
477,7,5,2,7,5,2,2009
478,18,16,2,18,16,2,2009
479,112,98,14,112,98,14,2009
480,4,0,4,4,0,3,2009
481,228,216,12,228,216,12,2009
482,1,0,1,1,0,1,2009
483,13,6,7,13,6,7,2009
484,3,0,3,3,0,3,2009
485,153,142,11,152,141,11,2009
486,26,24,2,26,24,2,2009
487,168,153,15,168,153,15,2009
488,21,,,16,,,2009
489,153,138,15,16,3,13,2009
490,16,13,3,16,13,3,2009
491,72,68,4,1,0,1,2009
492,9,7,2,9,7,2,2009
493,13,11,2,13,11,2,2009
494,7,2,5,7,2,5,2009
495,13,,,10,,,2009
496,3,0,3,1,0,1,2009
497,3,2,1,3,2,1,2009
498,4,0,4,4,0,4,2009
499,6,0,6,6,0,6,2009
500,10,9,1,1,0,1,2009
501,11,0,11,11,0,11,2009
502,11,0,11,11,0,11,2009
503,15,12,3,1,1,0,2009
504,3,0,3,3,0,3,2009
505,7,0,7,3,0,3,2009
506,8,7,1,6,6,0,2009
507,2,0,2,2,0,2,2010
508,90,82,8,90,82,8,2010
509,10,8,2,2,1,1,2010
510,8,6,2,8,6,2,2010
511,11,9,2,11,9,2,2010
512,96,88,8,96,88,8,2010
513,18,15,3,10,8,2,2010
514,5,0,5,5,0,5,2010
515,6,0,6,3,0,3,2010
516,104,93,11,103,92,11,2010
517,8,6,2,8,6,2,2010
518,44,38,6,44,38,6,2010
519,166,160,6,159,153,6,2010
520,11,9,2,11,9,2,2010
521,7,5,2,7,5,2,2010
522,14,10,4,12,,3,2010
523,152,146,6,152,146,6,2010
524,4,0,4,4,0,4,2010
525,3,0,3,3,0,3,2010
526,15,12,3,12,11,1,2010
527,9,8,1,5,4,1,2010
528,131,125,6,2,2,0,2010
529,4,3,1,4,3,1,2010
530,14,11,3,14,11,3,2010
531,96,91,5,44,41,3,2010
532,20,17,3,19,16,3,2010
533,10,,,10,,,2010
534,2,0,2,2,0,2,2010
535,9,8,1,9,8,1,2010
536,51,47,4,17,14,3,2010
537,13,,,10,,,2010
538,28,,,28,,,2010
539,8,0,8,8,0,8,2010
540,2,0,2,2,0,2,2010
541,68,61,7,68,61,7,2010
542,21,17,4,21,17,4,2010
543,10,,,7,,,2010
544,8,0,8,8,0,8,2010
545,169,160,9,2,2,0,2010
546,22,19,3,22,19,3,2010
547,124,116,8,3,3,0,2011
548,105,93,12,77,65,12,2011
549,9,7,2,9,7,2,2011
550,12,10,2,6,4,2,2011
551,14,12,2,14,12,2,2011
552,9,5,4,9,5,4,2011
553,33,29,4,32,28,4,2011
554,23,,,18,,,2011
555,7,6,1,7,6,1,2011
556,27,21,6,27,21,6,2011
557,22,19,3,22,19,3,2011
558,52,43,9,47,39,8,2011
559,9,0,9,9,0,9,2011
560,115,108,7,77,72,5,2011
561,37,33,4,7,7,0,2011
562,16,14,2,16,14,2,2011
563,80,71,9,80,71,9,2011
564,2,0,2,2,0,2,2011
565,38,,,38,,,2011
566,11,2,9,11,2,9,2011
567,15,11,4,12,8,4,2011
568,4,3,1,4,3,1,2011
569,21,17,4,21,17,4,2011
570,9,7,2,8,6,2,2011
571,45,37,8,44,37,7,2011
572,36,34,2,30,30,0,2011
573,1,0,1,1,0,1,2011
574,9,7,2,2,0,2,2011
575,19,16,3,19,16,3,2011
576,18,14,4,18,14,4,2011
577,32,28,4,28,26,2,2011
578,9,7,2,1,0,1,2011
579,5,4,1,5,4,1,2011
580,8,7,1,8,7,1,2011
581,5,4,1,5,4,1,2011
582,3,2,1,3,2,1,2011
583,5,3,3,3,1,2,2012
584,2,0,2,2,0,2,2012
585,12,,,12,,,2012
586,43,39,4,33,29,4,2012
587,127,121,6,127,121,6,2012
588,13,11,2,13,11,2,2012
589,45,39,6,45,39,6,2012
590,21,18,3,15,13,2,2012
591,4,0,4,0,0,4,2012
592,153,146,7,153,146,7,2012
593,14,12,2,14,12,2,2012
594,13,12,1,13,12,1,2012
595,7,0,7,7,0,7,2012
596,4,2,2,3,2,1,2012
597,32,26,6,32,26,6,2012
598,14,12,2,10,8,2,2012
599,19,16,3,19,16,3,2012
600,22,16,6,15,,,2012
601,4,3,1,3,2,1,2012
602,10,0,10,10,0,10,2012
603,7,0,7,7,0,7,2012
604,11,5,6,11,5,6,2012
605,7,5,2,7,5,2,2012
606,27,20,7,27,20,7,2012
607,71,65,6,1,0,1,2012
608,8,0,8,5,0,5,2012
609,3,2,1,3,2,1,2013
610,6,5,1,6,5,1,2013
611,21,16,5,21,16,5,2013
612,45,41,4,5,5,0,2013
613,10,4,6,7,1,6,2013
614,2,0,2,2,0,2,2013
615,108,101,7,0,0,0,2013
616,7,0,7,7,0,7,2013
617,4,2,2,4,2,2,2013
618,20,15,5,20,15,5,2013
619,307,291,16,3,3,0,2013
620,10,9,1,10,9,1,2013
621,6,0,6,4,0,4,2013
622,2,0,2,2,0,2,2013
623,20,13,7,16,11,5,2013
624,16,14,2,2,1,1,2013
625,49,44,5,49,44,5,2013
626,18,16,2,8,8,0,2013
627,21,13,8,13,7,6,2013
628,7,5,2,5,3,2,2013
629,50,44,6,50,44,6,2013
630,3,2,1,3,2,1,2013
631,33,27,6,33,27,6,2013
632,5,3,2,5,3,2,2013
633,9,3,6,9,3,6,2013
634,7,5,2,2,1,1,2014
635,77,73,4,76,72,4,2014
636,18,15,3,18,15,3,2014
637,11,6,5,11,6,5,2014
638,239,227,12,239,227,12,2014
639,2,1,1,2,1,1,2014
640,8,6,2,8,6,2,2014
641,8,7,1,8,7,1,2014
642,6,0,6,6,0,6,2014
643,17,11,6,16,10,6,2014
644,49,40,9,49,40,9,2014
645,4,0,4,4,0,4,2014
646,19,21,2,18,,,2014
647,298,283,15,298,283,15,2014
648,58,54,4,48,44,4,2014
649,116,110,6,116,110,6,2014
650,48,40,8,39,31,8,2014
651,7,5,2,7,5,2,2014
652,3,1,2,3,1,2,2014
653,9,7,2,4,2,2,2014
654,4,1,3,2,1,1,2014
655,6,0,6,6,0,6,2014
656,162,155,7,162,155,7,2014
657,37,35,2,37,35,2,2015
658,58,53,5,43,39,4,2015
659,10,8,2,10,8,2,2015
660,150,144,6,150,144,6,2015
661,9,8,1,9,8,1,2015
662,122,110,12,122,110,12,2015
663,11,0,11,11,0,11,2015
664,6,4,2,1,0,1,2015
665,54,49,5,54,49,5,2015
666,7,5,2,7,2,5,2015
667,7,6,1,3,3,0,2015
668,11,5,6,11,5,6,2015
669,10,7,3,10,7,3,2015
670,4,0,4,4,0,4,2015
671,224,217,7,224,217,7,2015
672,43,38,5,41,37,4,2015
673,7,6,1,7,6,1,2015
674,26,22,4,15,13,2,2015
675,2,0,2,2,0,2,2016
676,72,72,,1,1,,2016
677,23,20,3,23,20,3,2016
678,11,9,2,2,0,2,2016
679,4,0,4,3,0,3,2016
680,22,19,3,22,19,3,2016
681,62,55,7,62,55,7,2016
682,7,5,2,7,5,2,2016
683,5,4,1,5,4,1,2016
684,12,11,1,12,11,1,2016
685,13,11,2,13,11,2,2016
686,66,56,10,66,56,10,2016
687,29,23,6,29,23,6,2016
688,16,15,1,16,15,1,2016
689,300,282,18,0,0,0,2016
690,5,4,1,5,4,1,2016
691,5,3,2,5,3,2,2016
692,77,68,9,71,64,7,2016
693,13,8,5,13,8,5,2016
694,48,42,6,48,42,6,2016
695,13,10,3,13,10,3,2016
696,6,0,6,5,0,5,2016
697,92,84,8,92,84,8,2016
698,4,0,4,4,0,4,2017
699,5,4,1,5,4,1,2017
700,7,5,2,7,5,2,2017
701,6,4,2,6,4,2,2017
